URI,URILabel,comURI,founded_by,founded_byLabel,CEO,CEOLabel,parent,parentLabel,subsidiary,subsidiaryLabel,owned_by,owned_byLabel,owner_of,owner_ofLabel,total_revenue
http://www.wikidata.org/entity/Q173395,Cisco Systems,http://www.cisco.com,http://www.wikidata.org/entity/Q3229666,Leonard Bosack,http://www.wikidata.org/entity/Q6249428,John Morgridge,,,http://www.wikidata.org/entity/Q28973214,Cisco Systems (Netherlands),,,,,51904000000.0
http://www.wikidata.org/entity/Q173395,Cisco Systems,http://www.cisco.com,http://www.wikidata.org/entity/Q7549,Sandra Lerner,http://www.wikidata.org/entity/Q21041473,Chuck Robbins,,,http://www.wikidata.org/entity/Q28973214,Cisco Systems (Netherlands),,,,,51904000000.0
http://www.wikidata.org/entity/Q173395,Cisco Systems,http://www.cisco.com,http://www.wikidata.org/entity/Q3229666,Leonard Bosack,http://www.wikidata.org/entity/Q21041473,Chuck Robbins,,,http://www.wikidata.org/entity/Q28973214,Cisco Systems (Netherlands),,,,,51904000000.0
http://www.wikidata.org/entity/Q173395,Cisco Systems,http://www.cisco.com,http://www.wikidata.org/entity/Q7549,Sandra Lerner,http://www.wikidata.org/entity/Q6249428,John Morgridge,,,http://www.wikidata.org/entity/Q30338257,Cisco Systems (Canada),,,,,51904000000.0
http://www.wikidata.org/entity/Q173395,Cisco Systems,http://www.cisco.com,http://www.wikidata.org/entity/Q3229666,Leonard Bosack,http://www.wikidata.org/entity/Q6249428,John Morgridge,,,http://www.wikidata.org/entity/Q30338257,Cisco Systems (Canada),,,,,51904000000.0
http://www.wikidata.org/entity/Q173395,Cisco Systems,http://www.cisco.com,http://www.wikidata.org/entity/Q7549,Sandra Lerner,http://www.wikidata.org/entity/Q21041473,Chuck Robbins,,,http://www.wikidata.org/entity/Q30338257,Cisco Systems (Canada),,,,,51904000000.0
http://www.wikidata.org/entity/Q173395,Cisco Systems,http://www.cisco.com,http://www.wikidata.org/entity/Q3229666,Leonard Bosack,http://www.wikidata.org/entity/Q21041473,Chuck Robbins,,,http://www.wikidata.org/entity/Q30338257,Cisco Systems (Canada),,,,,51904000000.0
http://www.wikidata.org/entity/Q173395,Cisco Systems,http://www.cisco.com,http://www.wikidata.org/entity/Q7549,Sandra Lerner,http://www.wikidata.org/entity/Q6249428,John Morgridge,,,http://www.wikidata.org/entity/Q30343787,Cisco Systems (Norway),,,,,51904000000.0
http://www.wikidata.org/entity/Q173395,Cisco Systems,http://www.cisco.com,http://www.wikidata.org/entity/Q3229666,Leonard Bosack,http://www.wikidata.org/entity/Q6249428,John Morgridge,,,http://www.wikidata.org/entity/Q30343787,Cisco Systems (Norway),,,,,51904000000.0
http://www.wikidata.org/entity/Q173395,Cisco Systems,http://www.cisco.com,http://www.wikidata.org/entity/Q7549,Sandra Lerner,http://www.wikidata.org/entity/Q21041473,Chuck Robbins,,,http://www.wikidata.org/entity/Q30343787,Cisco Systems (Norway),,,,,51904000000.0
http://www.wikidata.org/entity/Q173395,Cisco Systems,http://www.cisco.com,http://www.wikidata.org/entity/Q3229666,Leonard Bosack,http://www.wikidata.org/entity/Q21041473,Chuck Robbins,,,http://www.wikidata.org/entity/Q30343787,Cisco Systems (Norway),,,,,51904000000.0
http://www.wikidata.org/entity/Q173395,Cisco Systems,http://www.cisco.com,http://www.wikidata.org/entity/Q7549,Sandra Lerner,http://www.wikidata.org/entity/Q6249428,John Morgridge,,,http://www.wikidata.org/entity/Q48675114,Perspica,,,,,51904000000.0
http://www.wikidata.org/entity/Q173395,Cisco Systems,http://www.cisco.com,http://www.wikidata.org/entity/Q3229666,Leonard Bosack,http://www.wikidata.org/entity/Q6249428,John Morgridge,,,http://www.wikidata.org/entity/Q48675114,Perspica,,,,,51904000000.0
http://www.wikidata.org/entity/Q173395,Cisco Systems,http://www.cisco.com,http://www.wikidata.org/entity/Q7549,Sandra Lerner,http://www.wikidata.org/entity/Q21041473,Chuck Robbins,,,http://www.wikidata.org/entity/Q48675114,Perspica,,,,,51904000000.0
http://www.wikidata.org/entity/Q173395,Cisco Systems,http://www.cisco.com,http://www.wikidata.org/entity/Q3229666,Leonard Bosack,http://www.wikidata.org/entity/Q21041473,Chuck Robbins,,,http://www.wikidata.org/entity/Q48675114,Perspica,,,,,51904000000.0
http://www.wikidata.org/entity/Q173395,Cisco Systems,http://www.cisco.com,http://www.wikidata.org/entity/Q7549,Sandra Lerner,http://www.wikidata.org/entity/Q6249428,John Morgridge,,,http://www.wikidata.org/entity/Q50040708,Cisco Systems (China),,,,,51904000000.0
http://www.wikidata.org/entity/Q173395,Cisco Systems,http://www.cisco.com,http://www.wikidata.org/entity/Q3229666,Leonard Bosack,http://www.wikidata.org/entity/Q6249428,John Morgridge,,,http://www.wikidata.org/entity/Q50040708,Cisco Systems (China),,,,,51904000000.0
http://www.wikidata.org/entity/Q173395,Cisco Systems,http://www.cisco.com,http://www.wikidata.org/entity/Q7549,Sandra Lerner,http://www.wikidata.org/entity/Q21041473,Chuck Robbins,,,http://www.wikidata.org/entity/Q50040708,Cisco Systems (China),,,,,51904000000.0
http://www.wikidata.org/entity/Q173395,Cisco Systems,http://www.cisco.com,http://www.wikidata.org/entity/Q3229666,Leonard Bosack,http://www.wikidata.org/entity/Q21041473,Chuck Robbins,,,http://www.wikidata.org/entity/Q50040708,Cisco Systems (China),,,,,51904000000.0
http://www.wikidata.org/entity/Q5122723,Citizens Property Insurance Corporation,http://www.citizensfla.com,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q2981857,Cognex Corporation,http://www.cognex.com/,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1107035,Cognizant,https://www.cognizant.com,http://www.wikidata.org/entity/Q5483294,Francisco D'Souza,http://www.wikidata.org/entity/Q5483294,Francisco D'Souza,,,http://www.wikidata.org/entity/Q29109867,Cognizant (India),,,,,
http://www.wikidata.org/entity/Q1107035,Cognizant,https://www.cognizant.com,http://www.wikidata.org/entity/Q6443489,Kumar Mahadeva,http://www.wikidata.org/entity/Q5483294,Francisco D'Souza,,,http://www.wikidata.org/entity/Q29109867,Cognizant (India),,,,,
http://www.wikidata.org/entity/Q1107035,Cognizant,https://www.cognizant.com,http://www.wikidata.org/entity/Q6479902,Lakshmi Narayanan,http://www.wikidata.org/entity/Q5483294,Francisco D'Souza,,,http://www.wikidata.org/entity/Q29109867,Cognizant (India),,,,,
http://www.wikidata.org/entity/Q1107035,Cognizant,https://www.cognizant.com,http://www.wikidata.org/entity/Q5483294,Francisco D'Souza,http://www.wikidata.org/entity/Q5483294,Francisco D'Souza,,,http://www.wikidata.org/entity/Q30338105,Cognizant (United Kingdom),,,,,
http://www.wikidata.org/entity/Q1107035,Cognizant,https://www.cognizant.com,http://www.wikidata.org/entity/Q6443489,Kumar Mahadeva,http://www.wikidata.org/entity/Q5483294,Francisco D'Souza,,,http://www.wikidata.org/entity/Q30338105,Cognizant (United Kingdom),,,,,
http://www.wikidata.org/entity/Q1107035,Cognizant,https://www.cognizant.com,http://www.wikidata.org/entity/Q6479902,Lakshmi Narayanan,http://www.wikidata.org/entity/Q5483294,Francisco D'Souza,,,http://www.wikidata.org/entity/Q30338105,Cognizant (United Kingdom),,,,,
http://www.wikidata.org/entity/Q5145789,Collabera,http://www.collabera.com,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q5175946,"Couchbase, Inc.",http://www.couchbase.com/,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q5177980,Coupa,http://coupa.com,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q16973081,CSG International,https://www.csgi.com/,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q692524,CSL Behring,http://www.cslbehring.com/,,,,,,,http://www.wikidata.org/entity/Q29123746,CSL Behring (Germany),,,,,
http://www.wikidata.org/entity/Q692524,CSL Behring,http://www.cslbehring.com/,,,,,,,http://www.wikidata.org/entity/Q43896152,CSL (Switzerland),,,,,
http://www.wikidata.org/entity/Q692524,CSL Behring,http://www.cslbehring.com/,,,,,,,http://www.wikidata.org/entity/Q64173589,CSL Plasma,,,,,
http://www.wikidata.org/entity/Q1146061,Cushman & Wakefield,http://www.cushmanwakefield.com/,,,,,,,,,,,,,6900000000.0
http://www.wikidata.org/entity/Q23016736,CyberCoders,http://www.cybercoders.com,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q18350420,Databricks,,http://www.wikidata.org/entity/Q23016890,Ali Ghodsi,,,,,,,,,,,
http://www.wikidata.org/entity/Q30282885,DCS Corporation (United States),https://www.dcscorp.com/,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q5249254,Decisive Analytics Corporation,http://www.dac.us/,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q30873,Dell Inc.,https://www.dell.com/,http://www.wikidata.org/entity/Q218630,Michael Dell,http://www.wikidata.org/entity/Q218630,Michael Dell,http://www.wikidata.org/entity/Q27500963,Dell Technologies,http://www.wikidata.org/entity/Q616855,SonicWall,,,,,
http://www.wikidata.org/entity/Q30873,Dell Inc.,https://www.dell.com/,http://www.wikidata.org/entity/Q218630,Michael Dell,http://www.wikidata.org/entity/Q218630,Michael Dell,http://www.wikidata.org/entity/Q27500963,Dell Technologies,http://www.wikidata.org/entity/Q877536,Dell EMC,,,,,
http://www.wikidata.org/entity/Q30873,Dell Inc.,https://www.dell.com/,http://www.wikidata.org/entity/Q218630,Michael Dell,http://www.wikidata.org/entity/Q218630,Michael Dell,http://www.wikidata.org/entity/Q27500963,Dell Technologies,http://www.wikidata.org/entity/Q911882,Force10,,,,,
http://www.wikidata.org/entity/Q30873,Dell Inc.,https://www.dell.com/,http://www.wikidata.org/entity/Q218630,Michael Dell,http://www.wikidata.org/entity/Q218630,Michael Dell,http://www.wikidata.org/entity/Q27500963,Dell Technologies,http://www.wikidata.org/entity/Q937801,Alienware,,,,,
http://www.wikidata.org/entity/Q2607502,E-Trade,https://www.etrade.com/,http://www.wikidata.org/entity/Q4892884,Bernard A. Newcomb,,,,,,,,,,,
http://www.wikidata.org/entity/Q2607502,E-Trade,https://www.etrade.com/,http://www.wikidata.org/entity/Q8004027,William A. Porter,,,,,,,,,,,
http://www.wikidata.org/entity/Q486269,Eastman Kodak,https://www.kodak.com/,http://www.wikidata.org/entity/Q189147,George Eastman,http://www.wikidata.org/entity/Q6173583,Jeff Clarke,,,http://www.wikidata.org/entity/Q28974277,Kodak (Israel),,,,,
http://www.wikidata.org/entity/Q486269,Eastman Kodak,https://www.kodak.com/,http://www.wikidata.org/entity/Q5716965,Henry A. Clark,http://www.wikidata.org/entity/Q6173583,Jeff Clarke,,,http://www.wikidata.org/entity/Q28974277,Kodak (Israel),,,,,
http://www.wikidata.org/entity/Q486269,Eastman Kodak,https://www.kodak.com/,http://www.wikidata.org/entity/Q5717043,Henry A. Strong,http://www.wikidata.org/entity/Q6173583,Jeff Clarke,,,http://www.wikidata.org/entity/Q28974277,Kodak (Israel),,,,,
http://www.wikidata.org/entity/Q486269,Eastman Kodak,https://www.kodak.com/,http://www.wikidata.org/entity/Q189147,George Eastman,http://www.wikidata.org/entity/Q6173583,Jeff Clarke,,,http://www.wikidata.org/entity/Q28974278,Kodak (Japan),,,,,
http://www.wikidata.org/entity/Q486269,Eastman Kodak,https://www.kodak.com/,http://www.wikidata.org/entity/Q5716965,Henry A. Clark,http://www.wikidata.org/entity/Q6173583,Jeff Clarke,,,http://www.wikidata.org/entity/Q28974278,Kodak (Japan),,,,,
http://www.wikidata.org/entity/Q486269,Eastman Kodak,https://www.kodak.com/,http://www.wikidata.org/entity/Q5717043,Henry A. Strong,http://www.wikidata.org/entity/Q6173583,Jeff Clarke,,,http://www.wikidata.org/entity/Q28974278,Kodak (Japan),,,,,
http://www.wikidata.org/entity/Q486269,Eastman Kodak,https://www.kodak.com/,http://www.wikidata.org/entity/Q189147,George Eastman,http://www.wikidata.org/entity/Q6173583,Jeff Clarke,,,http://www.wikidata.org/entity/Q28974279,Kodak (Canada),,,,,
http://www.wikidata.org/entity/Q486269,Eastman Kodak,https://www.kodak.com/,http://www.wikidata.org/entity/Q5716965,Henry A. Clark,http://www.wikidata.org/entity/Q6173583,Jeff Clarke,,,http://www.wikidata.org/entity/Q28974279,Kodak (Canada),,,,,
http://www.wikidata.org/entity/Q486269,Eastman Kodak,https://www.kodak.com/,http://www.wikidata.org/entity/Q5717043,Henry A. Strong,http://www.wikidata.org/entity/Q6173583,Jeff Clarke,,,http://www.wikidata.org/entity/Q28974279,Kodak (Canada),,,,,
http://www.wikidata.org/entity/Q486269,Eastman Kodak,https://www.kodak.com/,http://www.wikidata.org/entity/Q189147,George Eastman,http://www.wikidata.org/entity/Q6173583,Jeff Clarke,,,http://www.wikidata.org/entity/Q30343840,Kodak (Germany),,,,,
http://www.wikidata.org/entity/Q486269,Eastman Kodak,https://www.kodak.com/,http://www.wikidata.org/entity/Q5716965,Henry A. Clark,http://www.wikidata.org/entity/Q6173583,Jeff Clarke,,,http://www.wikidata.org/entity/Q30343840,Kodak (Germany),,,,,
http://www.wikidata.org/entity/Q486269,Eastman Kodak,https://www.kodak.com/,http://www.wikidata.org/entity/Q5717043,Henry A. Strong,http://www.wikidata.org/entity/Q6173583,Jeff Clarke,,,http://www.wikidata.org/entity/Q30343840,Kodak (Germany),,,,,
http://www.wikidata.org/entity/Q486269,Eastman Kodak,https://www.kodak.com/,http://www.wikidata.org/entity/Q189147,George Eastman,http://www.wikidata.org/entity/Q6173583,Jeff Clarke,,,http://www.wikidata.org/entity/Q30343841,Kodak (France),,,,,
http://www.wikidata.org/entity/Q486269,Eastman Kodak,https://www.kodak.com/,http://www.wikidata.org/entity/Q5716965,Henry A. Clark,http://www.wikidata.org/entity/Q6173583,Jeff Clarke,,,http://www.wikidata.org/entity/Q30343841,Kodak (France),,,,,
http://www.wikidata.org/entity/Q486269,Eastman Kodak,https://www.kodak.com/,http://www.wikidata.org/entity/Q5717043,Henry A. Strong,http://www.wikidata.org/entity/Q6173583,Jeff Clarke,,,http://www.wikidata.org/entity/Q30343841,Kodak (France),,,,,
http://www.wikidata.org/entity/Q29123933,Eisai (United States),http://www.eisai.com/,,,,,http://www.wikidata.org/entity/Q903384,Eisai,,,,,,,
http://www.wikidata.org/entity/Q30280160,Elanco (United States),https://www.elanco.com/,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q30298040,Electronic Warfare Associates (United States),http://www.ewa.com/,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q5375522,"Encore, Inc.",http://www.encore.com/,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q30255457,Ericsson (United States),,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1045778,Esri,http://esri.com,http://www.wikidata.org/entity/Q3157158,Jack Dangermond,,,,,http://www.wikidata.org/entity/Q64679065,Esri France,,,,,
http://www.wikidata.org/entity/Q5422122,ExtraHop Networks,http://www.extrahop.com,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q30298009,Five Stones Research Corporation (United States),http://www.5sr-hsv.com/,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q935969,Freddie Mac,http://www.freddiemac.com,,,http://www.wikidata.org/entity/Q18084741,Donald H. Layton,,,,,,,,,15385000000.0
http://www.wikidata.org/entity/Q30297974,Frontier Technology Incorporation (United States),http://www.fti-net.com/cm/Home.html,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q69742161,Gemini,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q899140,Genentech,http://www.gene.com/,http://www.wikidata.org/entity/Q354878,Herbert Boyer,,,http://www.wikidata.org/entity/Q212646,Hoffmann-La Roche,,,,,,,
http://www.wikidata.org/entity/Q899140,Genentech,http://www.gene.com/,http://www.wikidata.org/entity/Q7341301,Robert A. Swanson,,,http://www.wikidata.org/entity/Q212646,Hoffmann-La Roche,,,,,,,
http://www.wikidata.org/entity/Q1325893,General Dynamics Electric Boat,http://www.gdeb.com/,http://www.wikidata.org/entity/Q473770,Isaac Rice,,,http://www.wikidata.org/entity/Q502940,General Dynamics,http://www.wikidata.org/entity/Q7009905,New London Ship and Engine Company,,,,,
http://www.wikidata.org/entity/Q5514015,GNS Healthcare,http://www.gnshealthcare.com/,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q95,Google,http://www.google.com/,http://www.wikidata.org/entity/Q4934,Larry Page,http://www.wikidata.org/entity/Q3503829,Sundar Pichai,http://www.wikidata.org/entity/Q20800404,Alphabet Inc.,http://www.wikidata.org/entity/Q866,YouTube,,,,,66001000000.0
http://www.wikidata.org/entity/Q95,Google,http://www.google.com/,http://www.wikidata.org/entity/Q92764,Sergey Brin,http://www.wikidata.org/entity/Q3503829,Sundar Pichai,http://www.wikidata.org/entity/Q20800404,Alphabet Inc.,http://www.wikidata.org/entity/Q866,YouTube,,,,,66001000000.0
http://www.wikidata.org/entity/Q95,Google,http://www.google.com/,http://www.wikidata.org/entity/Q4934,Larry Page,http://www.wikidata.org/entity/Q3503829,Sundar Pichai,http://www.wikidata.org/entity/Q20800404,Alphabet Inc.,http://www.wikidata.org/entity/Q15330,Waymo,,,,,66001000000.0
http://www.wikidata.org/entity/Q95,Google,http://www.google.com/,http://www.wikidata.org/entity/Q92764,Sergey Brin,http://www.wikidata.org/entity/Q3503829,Sundar Pichai,http://www.wikidata.org/entity/Q20800404,Alphabet Inc.,http://www.wikidata.org/entity/Q15330,Waymo,,,,,66001000000.0
http://www.wikidata.org/entity/Q95,Google,http://www.google.com/,http://www.wikidata.org/entity/Q4934,Larry Page,http://www.wikidata.org/entity/Q3503829,Sundar Pichai,http://www.wikidata.org/entity/Q20800404,Alphabet Inc.,http://www.wikidata.org/entity/Q51712,Google Voice,,,,,66001000000.0
http://www.wikidata.org/entity/Q95,Google,http://www.google.com/,http://www.wikidata.org/entity/Q92764,Sergey Brin,http://www.wikidata.org/entity/Q3503829,Sundar Pichai,http://www.wikidata.org/entity/Q20800404,Alphabet Inc.,http://www.wikidata.org/entity/Q51712,Google Voice,,,,,66001000000.0
http://www.wikidata.org/entity/Q95,Google,http://www.google.com/,http://www.wikidata.org/entity/Q4934,Larry Page,http://www.wikidata.org/entity/Q3503829,Sundar Pichai,http://www.wikidata.org/entity/Q20800404,Alphabet Inc.,http://www.wikidata.org/entity/Q133928,X,,,,,66001000000.0
http://www.wikidata.org/entity/Q95,Google,http://www.google.com/,http://www.wikidata.org/entity/Q92764,Sergey Brin,http://www.wikidata.org/entity/Q3503829,Sundar Pichai,http://www.wikidata.org/entity/Q20800404,Alphabet Inc.,http://www.wikidata.org/entity/Q133928,X,,,,,66001000000.0
http://www.wikidata.org/entity/Q95,Google,http://www.google.com/,http://www.wikidata.org/entity/Q4934,Larry Page,http://www.wikidata.org/entity/Q3503829,Sundar Pichai,http://www.wikidata.org/entity/Q20800404,Alphabet Inc.,http://www.wikidata.org/entity/Q140258,Zagat,,,,,66001000000.0
http://www.wikidata.org/entity/Q95,Google,http://www.google.com/,http://www.wikidata.org/entity/Q92764,Sergey Brin,http://www.wikidata.org/entity/Q3503829,Sundar Pichai,http://www.wikidata.org/entity/Q20800404,Alphabet Inc.,http://www.wikidata.org/entity/Q140258,Zagat,,,,,66001000000.0
http://www.wikidata.org/entity/Q95,Google,http://www.google.com/,http://www.wikidata.org/entity/Q4934,Larry Page,http://www.wikidata.org/entity/Q3503829,Sundar Pichai,http://www.wikidata.org/entity/Q20800404,Alphabet Inc.,http://www.wikidata.org/entity/Q164203,VirusTotal,,,,,66001000000.0
http://www.wikidata.org/entity/Q95,Google,http://www.google.com/,http://www.wikidata.org/entity/Q92764,Sergey Brin,http://www.wikidata.org/entity/Q3503829,Sundar Pichai,http://www.wikidata.org/entity/Q20800404,Alphabet Inc.,http://www.wikidata.org/entity/Q164203,VirusTotal,,,,,66001000000.0
http://www.wikidata.org/entity/Q95,Google,http://www.google.com/,http://www.wikidata.org/entity/Q4934,Larry Page,http://www.wikidata.org/entity/Q3503829,Sundar Pichai,http://www.wikidata.org/entity/Q20800404,Alphabet Inc.,http://www.wikidata.org/entity/Q171186,Blogger,,,,,66001000000.0
http://www.wikidata.org/entity/Q95,Google,http://www.google.com/,http://www.wikidata.org/entity/Q92764,Sergey Brin,http://www.wikidata.org/entity/Q3503829,Sundar Pichai,http://www.wikidata.org/entity/Q20800404,Alphabet Inc.,http://www.wikidata.org/entity/Q171186,Blogger,,,,,66001000000.0
http://www.wikidata.org/entity/Q95,Google,http://www.google.com/,http://www.wikidata.org/entity/Q4934,Larry Page,http://www.wikidata.org/entity/Q3503829,Sundar Pichai,http://www.wikidata.org/entity/Q20800404,Alphabet Inc.,http://www.wikidata.org/entity/Q271982,Google Ads,,,,,66001000000.0
http://www.wikidata.org/entity/Q95,Google,http://www.google.com/,http://www.wikidata.org/entity/Q92764,Sergey Brin,http://www.wikidata.org/entity/Q3503829,Sundar Pichai,http://www.wikidata.org/entity/Q20800404,Alphabet Inc.,http://www.wikidata.org/entity/Q271982,Google Ads,,,,,66001000000.0
http://www.wikidata.org/entity/Q95,Google,http://www.google.com/,http://www.wikidata.org/entity/Q4934,Larry Page,http://www.wikidata.org/entity/Q3503829,Sundar Pichai,http://www.wikidata.org/entity/Q20800404,Alphabet Inc.,http://www.wikidata.org/entity/Q509284,G Suite,,,,,66001000000.0
